Hospital,Especialidade,Nota_Prova,Nota_Curriculo,Total
Associação Hospitalar Santa Rosália,cirurgia geral,50.4,5.4,55.8
Associação Hospitalar Santa Rosália,cirurgia geral,51.6,4.05,55.65
Associação Hospitalar Santa Rosália,cirurgia geral,52.8,1.75,54.55
Associação Hospitalar Santa Rosália,cirurgia geral,46.8,7.55,54.35
Associação Hospitalar Santa Rosália,cirurgia geral,45.6,2.2,47.8
Associação Hospitalar Santa Rosália,clínica médica,63.6,8.3,71.9
Associação Hospitalar Santa Rosália,clínica médica,52.8,5.8,58.6
Associação Hospitalar Santa Rosália,clínica médica,50.4,5.5,55.9
Associação Hospitalar Santa Rosália,clínica médica,46.8,7.1,53.9
Associação Hospitalar Santa Rosália,clínica médica,48,4.6,52.6
Associação Hospitalar Santa Rosália,clínica médica,45.6,5.6,51.2
Associação Hospitalar Santa Rosália,clínica médica,45.6,4.8,50.4
Casa de Caridade de Carangola,cirurgia geral,58.8,7.95,66.75
Casa de Caridade de Carangola,cirurgia geral,54,10,64
Casa de Caridade de Carangola,cirurgia geral,55.2,7.5,62.7
Casa de Caridade de Carangola,cirurgia geral,56.4,5.3,61.7
Casa de Caridade de Carangola,cirurgia geral,55.2,6.4,61.6
Casa de Caridade de Carangola,cirurgia geral,52.8,8.6,61.4
Casa de Caridade de Carangola,cirurgia geral,54,3.35,57.35
Casa de Caridade de Carangola,cirurgia geral,52.8,3.55,56.35
Casa de Caridade de Carangola,cirurgia geral,49.2,6.55,55.75
Casa de Caridade de Carangola,cirurgia geral,51.6,4.05,55.65
Casa de Caridade de Carangola,cirurgia geral,52.8,1.75,54.55
Casa de Caridade de Carangola,cirurgia geral,49.2,5.1,54.3
Casa de Caridade de Carangola,cirurgia geral,45.6,7.5,53.1
Casa de Caridade de Carangola,cirurgia geral,45.6,6.05,51.65
Casa de Caridade de Carangola,cirurgia geral,45.6,2.2,47.8
Casa de Caridade de Carangola,clínica médica,50.4,5.8,56.2
Casa de Caridade de Carangola,medicina intensiva,55.2,5.4,60.6
Casa de Caridade de Carangola,medicina intensiva,52.8,5.2,58
Casa de Caridade de Carangola,medicina intensiva,49.2,4.8,54
Casa de Caridade de Carangola,medicina intensiva,48,2.3,50.3
Casa de Caridade de Muriaé - Hospital São Paulo,cirurgia geral,61.2,9.9,71.1
Casa de Caridade de Muriaé - Hospital São Paulo,cirurgia geral,56.4,6,62.4
Casa de Caridade de Muriaé - Hospital São Paulo,cirurgia geral,51.6,5.95,57.55
Casa de Caridade de Muriaé - Hospital São Paulo,cirurgia geral,49.2,6.55,55.75
Casa de Caridade de Muriaé - Hospital São Paulo,cirurgia geral,52.8,1.75,54.55
Casa de Caridade de Muriaé - Hospital São Paulo,cirurgia geral,49.2,5.1,54.3
Casa de Caridade de Muriaé - Hospital São Paulo,cirurgia geral,49.2,4.6,53.8
Casa de Caridade de Muriaé - Hospital São Paulo,cirurgia geral,45.6,2.2,47.8
Casa de Caridade de Muriaé - Hospital São Paulo,clínica médica,49.2,10,64.12
Casa de Caridade de Muriaé - Hospital São Paulo,clínica médica,55.2,6,61.2
Casa de Caridade de Muriaé - Hospital São Paulo,clínica médica,56.4,3.5,59.9
Casa de Caridade de Muriaé - Hospital São Paulo,clínica médica,50.4,7.7,58.1
Casa de Caridade de Muriaé - Hospital São Paulo,clínica médica,50.4,5.8,56.2
Casa de Caridade de Muriaé - Hospital São Paulo,clínica médica,46.8,8.35,55.15
Casa de Caridade de Muriaé - Hospital São Paulo,clínica médica,48,5.85,53.85
Casa de Caridade de Muriaé - Hospital São Paulo,clínica médica,49.2,4.5,53.7
Casa de Caridade de Muriaé - Hospital São Paulo,clínica médica,49.2,4.4,53.6
Casa de Caridade de Muriaé - Hospital São Paulo,clínica médica,45.6,7.25,52.85
Casa de Caridade de Muriaé - Hospital São Paulo,clínica médica,46.8,2,48.8
Casa de Caridade de Muriaé - Hospital São Paulo,ortopedia e traumatologia,51.6,6.1,57.7
Casa de Caridade de Muriaé - Hospital São Paulo,ortopedia e traumatologia,51.6,3.3,54.9
Casa de Caridade de Muriaé - Hospital São Paulo,ortopedia e traumatologia,45.6,4.15,49.75
Casa de Caridade de Muriaé - Hospital São Paulo,pediatria,61.2,10,71.2
Casa de Caridade de Muriaé - Hospital São Paulo,pediatria,54,9.6,63.6
Casa de Caridade de Muriaé - Hospital São Paulo,pediatria,55.2,7.2,62.4
Casa de Caridade de Muriaé - Hospital São Paulo,pediatria,55.2,5.4,60.6
Casa de Caridade de Muriaé - Hospital São Paulo,pediatria,57.6,2.35,59.95
Casa de Caridade de Muriaé - Hospital São Paulo,pediatria,52.8,3.55,56.35
Casa de Caridade de Muriaé - Hospital São Paulo,pediatria,50.4,5.8,56.2
Casa de Caridade de Muriaé - Hospital São Paulo,pediatria,46.8,7.9,54.7
Casa de Caridade de Muriaé - Hospital São Paulo,pediatria,46.8,7.7,54.5
Casa de Caridade de Muriaé - Hospital São Paulo,pediatria,49.2,5.1,54.3
Casa de Caridade de Muriaé - Hospital São Paulo,pediatria,49.2,4.2,53.4
Casa de Caridade de Muriaé - Hospital São Paulo,pediatria,50.4,3,53.4
Casa de Caridade de Muriaé - Hospital São Paulo,pediatria,49.2,2.3,51.5
Casa de Caridade de Muriaé - Hospital São Paulo,pediatria,45.6,5.2,50.8
Faculd. Medicina da Univers. Federal de Uberlândia,alergia e imunologia pediátrica,60,5,65
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,67.2,8.6,75.8
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,66,7.3,73.3
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,66,6.9,72.9
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,64.8,6.3,71.1
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,67.2,3.75,70.95
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,62.4,7.85,70.25
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,62.4,7.3,69.7
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,64.8,4.45,69.25
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,58.8,10,68.8
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,61.2,7.5,68.7
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,60,8.5,68.5
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,64.8,3.65,68.45
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,62.4,5.8,68.2
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,60,7.9,67.9
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,61.2,6.7,67.9
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,60,7.65,67.65
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,60,7.6,67.6
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,62.4,5,67.4
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,57.6,9.6,67.2
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,62.4,4.3,66.7
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,62.4,3.95,66.35
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,64.8,1.4,66.2
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,62.4,3.3,65.7
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,61.2,4,65.2
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,60,5.1,65.1
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,58.8,6.2,65
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,58.8,6.1,64.9
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,60,4.8,64.8
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,57.6,7,64.6
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,57.6,7,64.6
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,57.6,6.5,64.1
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,60,4,64
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,56.4,7.5,63.9
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,56.4,7.1,63.5
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,57.6,5.55,63.15
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,57.6,4.75,62.35
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,55.2,7,62.2
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,54,7.4,61.4
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,51.6,9.6,61.2
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,54,7.2,61.2
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,58.8,2.3,61.1
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,55.2,5.7,60.9
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,56.4,4.5,60.9
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,54,1.1,60.61
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,54,6.5,60.5
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,54,6.35,60.35
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,56.4,3.8,60.2
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,52.8,7,59.8
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,54,5.8,59.8
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,56.4,3.25,59.65
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,51.6,7.9,59.5
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,55.2,4.1,59.3
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,55.2,4.05,59.25
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,52.8,6.3,59.1
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,54,4.75,58.75
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,52.8,5.3,58.1
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,52.8,5.3,58.1
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,54,3.9,57.9
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,52.8,4.55,57.35
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,50.4,6.55,56.95
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,51.6,5.2,56.8
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,52.8,3.8,56.6
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,51.6,5,56.6
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,48,8.5,56.5
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,49.2,7.2,56.4
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,49.2,7.1,56.3
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,52.8,3.4,56.2
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,50.4,5.5,55.9
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,51.6,4.15,55.75
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,49.2,6.5,55.7
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,50.4,5.3,55.7
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,46.8,8.8,55.6
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,52.8,2.75,55.55
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,49.2,6.1,55.3
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,50.4,4.9,55.3
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,50.4,4.9,55.3
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,49.2,5.9,55.1
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,50.4,4.4,54.8
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,49.2,5.55,54.75
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,45.6,8.6,54.2
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,50.4,3.8,54.2
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,45.6,8.3,53.9
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,49.2,4.6,53.8
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,45.6,8.2,53.8
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,50.4,3.3,53.7
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,48,5.3,53.3
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,49.2,4,53.2
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,48,5.2,53.2
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,50.4,2.75,53.15
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,45.6,7.55,53.15
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,48,4.9,52.9
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,49.2,3.35,52.55
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,46.8,5.7,52.5
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,48,4.5,52.5
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,45.6,6.7,52.3
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,49.2,2.95,52.15
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,48,3.7,51.7
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,45.6,5.5,51.1
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,46.8,4.3,51.1
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,46.8,4.2,51
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,45.6,5.05,50.65
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,45.6,5.05,50.65
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,45.6,5,50.6
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,48,1.4,49.4
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,49.2,0.1,49.3
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,45.6,3.5,49.1
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,46.8,2.25,49.05
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,46.8,1.85,48.65
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,45.6,2.9,48.5
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,45.6,2.8,48.4
Faculd. Medicina da Univers. Federal de Uberlândia,anestesiologia,46.8,0.1,46.9
Faculd. Medicina da Univers. Federal de Uberlândia,cardiologia,66,3,69
Faculd. Medicina da Univers. Federal de Uberlândia,cardiologia,66,2.65,68.65
Faculd. Medicina da Univers. Federal de Uberlândia,cardiologia,57,9.5,66.5
Faculd. Medicina da Univers. Federal de Uberlândia,cardiologia,57,7.5,64.5
Faculd. Medicina da Univers. Federal de Uberlândia,cardiologia,57,6.5,63.5
Faculd. Medicina da Univers. Federal de Uberlândia,cardiologia,48,5.5,53.5
Faculd. Medicina da Univers. Federal de Uberlândia,cardiologia pediátrica,69,7.5,76.5
Faculd. Medicina da Univers. Federal de Uberlândia,cardiologia pediátrica,66,5.5,71.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia craneo maxilo facial,57,3.15,60.15
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia de cabeça e pescoço,63,10,73
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia de cabeça e pescoço,60,9.5,69.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia do aparelho digestivo,63,5,68
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia do aparelho digestivo,63,4,67
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia do aparelho digestivo,51,8.5,59.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia do aparelho digestivo,57,2,59
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia do aparelho digestivo,54,3.65,57.65
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia do aparelho digestivo,51,5,56
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia do aparelho digestivo,48,7.5,55.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia do aparelho digestivo,45,10,55
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,70.8,9.5,80.3
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,70.8,5.5,76.3
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,64.8,9,73.8
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,66,7.1,73.1
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,62.4,9.9,72.3
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,63.6,8.3,71.9
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,62.4,9.5,71.9
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,61.2,9.9,71.1
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,62.4,8.2,70.6
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,61.2,8.4,69.6
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,61.2,8.1,69.3
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,60,9,69
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,61.2,7.6,68.8
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,61.2,7.1,68.3
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,62.4,5.75,68.15
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,60,8.1,68.1
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,60,7.95,67.95
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,62.4,5.05,67.45
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,60,7.3,67.3
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,60,7.2,67.2
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,61.2,5.75,66.95
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,58.8,7.9,66.7
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,62.4,4.3,66.7
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,60,6.6,66.6
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,60,6.4,66.4
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,56.4,10,66.4
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,57.6,8.5,66.1
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,56.4,9.55,65.95
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,56.4,9,65.4
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,62.4,2.95,65.35
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,56.4,8.8,65.2
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,61.2,3.9,65.1
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,57.6,7.4,65
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,60,4.6,64.6
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,61.2,3.3,64.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,55.2,8.6,63.8
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,57.6,6.1,63.7
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,60,3,63
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,52.8,9.9,62.7
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,57.6,4.8,62.4
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,55.2,7,62.2
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,52.8,9.3,62.1
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,54,8.1,62.1
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,57.6,4,61.6
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,52.8,8.6,61.4
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,55.2,5.5,60.7
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,56.4,3.9,60.3
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,51.6,8.6,60.2
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,55.2,4.9,60.1
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,51.6,8.35,59.95
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,56.4,3.55,59.95
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,52.8,6.8,59.6
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,51.6,8,59.6
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,54,5.5,59.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,51.6,7.7,59.3
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,49.2,10,59.2
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,55.2,4,59.2
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,52.8,6.4,59.2
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,52.8,6.3,59.1
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,52.8,6.3,59.1
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,51.6,6.8,58.4
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,50.4,7.5,57.9
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,51.6,6.3,57.9
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,54,3.5,57.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,55.2,2.3,57.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,50.4,7,57.4
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,54,3.35,57.35
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,50.4,6.8,57.2
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,51.6,5.4,57
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,51.6,5.3,56.9
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,51.6,5.2,56.8
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,49.2,7.4,56.6
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,51.6,4.8,56.4
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,52.8,3.35,56.15
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,49.2,6.75,55.95
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,50.4,5.5,55.9
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,50.4,5.5,55.9
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,54,1.8,55.8
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,49.2,6.6,55.8
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,48,7.6,55.6
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,45.6,10,55.6
